status,x,y,z,azimuth,elevation,roll,button,quality,time,image_ts,image_filename
0x0000,248.803,182.166,-43.086,-80.421,-59.729,-20.327,1,6,1743801352039,1743801352035,data_Color_1743801352035.13232421875000.png
0x0000,248.915,182.166,-43.532,-80.483,-59.466,-20.29,1,6,1743801352106,1743801352102,data_Color_1743801352102.14404296875000.png
0x0000,248.692,182.166,-43.644,-80.495,-59.384,-20.368,1,6,1743801352172,1743801352169,data_Color_1743801352169.37255859375000.png
0x0000,248.692,182.054,-43.644,-80.529,-59.356,-20.384,1,5,1743801352239,1743801352236,data_Color_1743801352236.77148437500000.png
0x0000,248.58,181.942,-43.532,-80.59,-59.342,-20.375,1,5,1743801352305,1743801352303,data_Color_1743801352303.82690429687500.png
0x0000,248.58,181.831,-43.421,-80.671,-59.342,-20.344,1,5,1743801352372,1743801352371,data_Color_1743801352371.05566406250000.png
0x0000,248.357,181.608,-43.197,-80.795,-59.397,-20.365,1,5,1743801352438,1743801352438,data_Color_1743801352438.54565429687500.png
0x0000,248.134,181.384,-42.751,-80.835,-59.507,-20.48,1,5,1743801352505,1743801352505,data_Color_1743801352505.38159179687500.png
0x0000,248.022,181.384,-42.416,-80.88,-59.549,-20.517,1,5,1743801352572,1743801352572,data_Color_1743801352572.54638671875000.png
0x0000,248.022,181.496,-42.416,-81.027,-59.466,-20.425,1,4,1743801352638,1743801352639,data_Color_1743801352639.83740234375000.png
0x0000,248.022,181.496,-42.639,-81.219,-59.37,-20.32,1,4,1743801352705,1743801352706,data_Color_1743801352706.97290039062500.png
0x0000,247.799,181.719,-43.086,-82.065,-59.192,-19.692,1,4,1743801352771,1743801352774,data_Color_1743801352774.10473632812500.png
0x0000,247.129,181.384,-42.862,-84.664,-59.288,-17.365,1,4,1743801352838,1743801352841,data_Color_1743801352841.60668945312500.png
0x0000,245.901,181.273,-42.193,-88.601,-59.659,-13.462,1,4,1743801352905,1743801352908,data_Color_1743801352908.58715820312500.png
0x0000,245.343,181.608,-41.3,-91.917,-59.993,-9.856,1,4,1743801352971,1743801352975,data_Color_1743801352975.80712890625000.png
0x0000,245.232,181.608,-40.184,-95.257,-60.105,-6.26,1,4,1743801353038,1743801353043,data_Color_1743801353043.17553710937500.png
0x0000,244.785,181.608,-39.179,-99.116,-60.147,-2.123,1,4,1743801353115,1743801353110,data_Color_1743801353110.02929687500000.png
0x0000,244.339,181.942,-38.063,-102.63,-60.204,1.746,1,3,1743801353182,1743801353177,data_Color_1743801353177.37011718750000.png
0x0000,244.115,182.5,-36.388,-106.273,-60.246,5.861,1,3,1743801353248,1743801353244,data_Color_1743801353244.54150390625000.png
0x0000,244.004,183.17,-34.044,-109.688,-60.501,9.88,1,3,1743801353315,1743801353311,data_Color_1743801353311.76074218750000.png
0x0000,243.78,183.617,-30.807,-112.687,-60.858,13.594,1,3,1743801353382,1743801353379,data_Color_1743801353379.35913085937500.png
0x0000,242.999,184.063,-27.57,-115.45,-61.132,17.023,1,3,1743801353448,1743801353446,data_Color_1743801353446.20800781250000.png
0x0000,241.66,183.84,-25.003,-118.622,-61.161,20.716,1,4,1743801353515,1743801353513,data_Color_1743801353513.29736328125000.png
0x0000,240.543,182.947,-22.659,-121.2,-61.204,23.693,1,4,1743801353581,1743801353580,data_Color_1743801353580.75488281250000.png
0x0000,239.762,181.831,-20.65,-123.332,-61.161,26.286,1,4,1743801353648,1743801353648,data_Color_1743801353648.10131835937500.png
0x0000,239.316,180.38,-19.757,-124.777,-61.059,27.942,1,4,1743801353714,1743801353714,data_Color_1743801353714.84008789062500.png
