status,x,y,z,azimuth,elevation,roll,button,quality,time
0x0000,305.06,132.717,-28.129,55.868,-64.209,160.528,1,15,1743801385.345
0x0000,305.172,132.606,-28.129,56.044,-64.065,160.29,1,15,1743801385.356
0x0000,305.284,132.383,-28.017,56.231,-63.874,160.022,1,15,1743801385.368
0x0000,305.507,132.159,-27.905,56.323,-63.684,159.834,1,15,1743801385.379
0x0000,305.619,132.048,-27.905,56.375,-63.511,159.661,1,15,1743801385.39
0x0000,305.842,131.713,-27.794,56.357,-63.261,159.524,1,15,1743801385.401
0x0000,306.065,131.49,-27.794,56.233,-62.998,159.498,1,15,1743801385.412
0x0000,306.288,131.266,-27.794,56.068,-62.768,159.499,1,15,1743801385.423
0x0000,306.512,130.932,-27.682,55.769,-62.434,159.58,1,15,1743801385.434
0x0000,306.735,130.597,-27.794,55.389,-62.103,159.754,1,15,1743801385.445
0x0000,306.958,130.373,-27.794,54.999,-61.805,159.945,1,15,1743801385.456
0x0000,307.293,129.927,-27.794,54.433,-61.379,160.23,1,16,1743801385.467
0x0000,307.516,129.592,-27.794,53.939,-61.016,160.529,1,16,1743801385.478
0x0000,307.628,129.257,-27.905,53.433,-60.672,160.82,1,16,1743801385.49
0x0000,307.851,128.922,-27.794,52.842,-60.288,161.154,1,16,1743801385.501
0x0000,307.963,128.699,-27.794,52.389,-59.979,161.415,1,16,1743801385.512
0x0000,307.963,128.476,-27.794,51.911,-59.645,161.736,1,16,1743801385.523
0x0000,308.074,128.141,-27.794,51.439,-59.397,162.004,1,16,1743801385.534
0x0000,308.074,128.029,-27.57,51.099,-59.192,162.2,1,16,1743801385.545
0x0000,307.963,128.029,-27.794,50.701,-58.92,162.508,1,16,1743801385.556
0x0000,307.963,127.806,-27.682,50.343,-58.771,162.696,1,16,1743801385.567
0x0000,307.739,127.806,-27.57,50.107,-58.663,162.82,1,16,1743801385.578
0x0000,307.516,127.695,-27.794,49.819,-58.449,163.028,1,16,1743801385.589
0x0000,307.404,127.583,-27.794,49.581,-58.382,163.147,1,16,1743801385.601
0x0000,307.181,127.583,-27.682,49.425,-58.342,163.183,1,16,1743801385.612
0x0000,306.958,127.471,-27.905,49.278,-58.209,163.266,1,16,1743801385.623
0x0000,306.735,127.471,-28.017,49.161,-58.182,163.286,1,16,1743801385.634
0x0000,306.512,127.36,-28.017,49.104,-58.182,163.231,1,16,1743801385.645
0x0000,306.177,127.248,-28.129,49.081,-58.143,163.179,1,16,1743801385.656
0x0000,305.842,127.248,-28.24,49.081,-58.143,163.082,1,16,1743801385.667
0x0000,305.507,127.136,-28.352,49.14,-58.156,162.962,1,16,1743801385.678
